id,caption,media_type,permalink,timestamp,like_count,comments_count,reach,impressions,saved,shares,plays,total_interactions,date,hour,day_of_week,day_of_week_jp,engagement_total,engagement_rate,save_rate,caption_length,hashtag_count,hashtags,categories,primary_category
18162573574412294,"大変なレポート・テスト期間を乗り越えるための相棒💻📚

教科書の引用も、iPhoneをかざすだけで一瞬でMacに取り込める。この機能のおかげで大学生活が効率化できて本当に充実してます🙌
意外と知られていないけど、テキストだけじゃなくて画像もコピーできるんです！
春から大学生になる人やパソコン選びに悩んでる人は、
Mac × iPhoneの組み合わせがおすすめです！

#PR #Apple #学生にMac #パソコン #学割",VIDEO,https://www.instagram.com/reel/DUqXwTwCQwI/,2026-02-12 15:01:52+00:00,199,0,5154,0,57,11,0,269,2026-02-12,15,Thursday,木,267,5.180442374854482,1.1059371362048895,213,5,"['PR', 'Apple', '学生にMac', 'パソコン', '学割']","['暮らし', '大学生活']",暮らし
18093700366982216,"期末期間中に旅行に行った大学生のvlog
かなりハラハラな試験期間でした😇

#大学生 #大学生の日常 #韓国旅行 #06",VIDEO,https://www.instagram.com/reel/DUa8TaMCVnP/,2026-02-06 15:11:16+00:00,822,1,44390,0,219,54,0,1100,2026-02-06,15,Friday,金,1096,2.4690245550799728,0.4933543590898851,61,4,"['大学生', '大学生の日常', '韓国旅行', '06']","['旅行', '大学生活']",旅行
17873631657417545,"turned 20✨

📷：@rina._nozawa

#glowup #06 #fyp #reels",VIDEO,https://www.instagram.com/reel/DULQNoKiUqW/,2026-01-31 13:01:07+00:00,258,2,5625,0,13,2,0,276,2026-01-31,13,Saturday,土,275,4.888888888888889,0.2311111111111111,52,4,"['glowup', '06', 'fyp', 'reels']",['その他'],その他
18085662773121636,"2025年は
あまり投稿できませんでした
やりたいことに対して行動が追いつかず
自分の弱さが露呈した一年だったので
2026年は完璧を求めすぎないで、ありのままの途中の自分を出して行ける年にしたいです
ただ、色々な人との繋がりができた1年でもあったので、そこは本当に幸せでした😌

(写真動画を全然撮ってなかったので動物のベストショット添えておきます🐈‍⬛)",CAROUSEL_ALBUM,https://www.instagram.com/p/DS7m_pVE37h/,2025-12-31 14:35:43+00:00,503,2,4754,0,16,3,0,524,2025-12-31,14,Wednesday,水,524,11.022297013041648,0.33655868742111905,179,0,[],['その他'],その他
17864535642518594,"久しぶりにちゃんと朝活したら、1日が長過ぎてびっくりした、、
毎日はできなくても週1以上は早起きしたいですね

#vlog #大学生の日常 #東京散歩 #朝活",VIDEO,https://www.instagram.com/reel/DRw1DEXCTGB/,2025-12-02 13:41:32+00:00,568,15,15857,0,133,23,0,741,2025-12-02,13,Tuesday,火,739,4.660402345967081,0.8387462950116668,79,4,"['vlog', '大学生の日常', '東京散歩', '朝活']","['自分磨き', '大学生活']",自分磨き
18078803936314232,"Hawaii🏝️

終始穏やかだった😌",CAROUSEL_ALBUM,https://www.instagram.com/p/DOQ3BneiUwM/,2025-09-06 14:02:53+00:00,580,4,5752,0,14,5,0,603,2025-09-06,14,Saturday,土,603,10.483310152990265,0.24339360222531292,19,0,[],['その他'],その他
17853246471516204,"高円寺にオープンするカフェに行ってきました

大学のクラスメイトが立ち上げた、期間限定のこだわり自然派カフェ(@little_farm_cafe)🫖
本格的な紅茶と、オーガニックのフルーツや野菜を使ったスイーツが見た目も華やかで美味しすぎました、、

店内もおしゃれで居心地が良かったので
皆さんもよかったら行ってみてください！
僕はまた行きます🫣

Little Farm Cafe
📍 東京都杉並区高円寺南4-24-11 宝山ビル112
🚶‍♂️ 高円寺駅から徒歩4分
📅 大学生がやってる期間限定カフェ（※期間の詳細は @little_farm_cafe でご確認ください！）

#高円寺カフェ #高円寺グルメ #littlefarmcafe #大学生カフェ #期間限定カフェ",CAROUSEL_ALBUM,https://www.instagram.com/p/DNqYBViJ4OF/,2025-08-22 15:20:49+00:00,445,1,5971,0,18,3,0,468,2025-08-22,15,Friday,金,467,7.821135488192933,0.30145704237146204,341,5,"['高円寺カフェ', '高円寺グルメ', 'littlefarmcafe', '大学生カフェ', '期間限定カフェ']","['旅行', '大学生活']",旅行
18090666901619097,"2015→2025
こうして見るとだいぶ変わった気がしますね

#fyp #06 #自分磨き",VIDEO,https://www.instagram.com/reel/DK7WvNsJDPk/,2025-06-15 16:04:16+00:00,482,4,21127,0,37,8,0,531,2025-06-15,16,Sunday,日,531,2.5133715151228286,0.17513134851138354,46,3,"['fyp', '06', '自分磨き']",['自分磨き'],自分磨き
18106659490513383,"最近の1日は学校と猫サーか筋トレで終わります

しばらく動画撮るのサボってたので
今度こそ頻度上げていきます🙇

#大学生の日常 #vlog #06 #猫",VIDEO,https://www.instagram.com/reel/DKj2u7zztC1/,2025-06-06 13:05:16+00:00,709,11,29786,0,81,6,0,807,2025-06-06,13,Friday,金,807,2.7093265292419257,0.2719398375075539,77,4,"['大学生の日常', 'vlog', '06', '猫']","['筋トレ', '大学生活']",筋トレ
18060438359037619,"最近の
#06 #fyp",CAROUSEL_ALBUM,https://www.instagram.com/p/DIQ_jQ0zCg4/,2025-04-10 12:09:01+00:00,744,6,7057,0,27,3,0,780,2025-04-10,12,Thursday,木,780,11.052855320957915,0.38259883803315853,12,2,"['06', 'fyp']",['その他'],その他
